Title,Text,URL
"18A Niccone Place, Bombay","Location: 18A Niccone Place, Bombay
Sale type: $2,199,000
Agents: Brendon Moore : 027238 6660 | Louise Moore : 027234 9367
URL: https://www.barfoot.co.nz/property/residential/franklin-district/bombay/lifestyle/924000

Description:
Open home for 18A Niccone Place, Bombay. Starting at 01:00PM and finishing at 01:30PM 

Open home for listing ID:924000. Listing by Brendon Moore from Barfoot & Thompson.",https://www.barfoot.co.nz/property/residential/franklin-district/bombay/lifestyle/924000
"1963 Great South Road, Bombay","Location: 1963 Great South Road, Bombay
Sale type: Auction Thursday 26th March 2026(unless sold prior)
Agents: Scott McElhinney : 027210 8887
URL: https://www.barfoot.co.nz/property/residential/franklin-district/bombay/lifestyle/929039

Description:
Open home for 1963 Great South Road, Bombay. Starting at 01:45PM and finishing at 02:30PM 

Open home for listing ID:929039. Listing by Scott McElhinney from Barfoot & Thompson.",https://www.barfoot.co.nz/property/residential/franklin-district/bombay/lifestyle/929039
"1115 Glenbrook Road, Glenbrook","Location: 1115 Glenbrook Road, Glenbrook
Sale type: For sale by negotiation
Agents: Luke Jupp : 0211608 005 | Jason Tabrum : 022567 9662
URL: https://www.barfoot.co.nz/property/residential/franklin-district/glenbrook/lifestyle/904594

Description:
ResidentialFranklin DistrictGlenbrook1115 Glenbrook Road",https://www.barfoot.co.nz/property/residential/franklin-district/glenbrook/lifestyle/904594
"18 Smeaton Road, Glenbrook","Location: 18 Smeaton Road, Glenbrook
Sale type: For sale by negotiation
Agents: Ginny Cheyne : 021405 462 | Jack Jeffries : 021024 66810
URL: https://www.barfoot.co.nz/property/residential/franklin-district/glenbrook/lifestyle/917068

Description:
ResidentialFranklin DistrictGlenbrook18 Smeaton Road",https://www.barfoot.co.nz/property/residential/franklin-district/glenbrook/lifestyle/917068
"87 Pukeoware Road, Glenbrook","Location: 87 Pukeoware Road, Glenbrook
Sale type: For sale by negotiation
Agents: Scott McElhinney : 027210 8887
URL: https://www.barfoot.co.nz/property/residential/franklin-district/glenbrook/lifestyle/924092

Description:
ResidentialFranklin DistrictGlenbrook87 Pukeoware Road",https://www.barfoot.co.nz/property/residential/franklin-district/glenbrook/lifestyle/924092
"51C Klipsch Road, Glenbrook","Location: 51C Klipsch Road, Glenbrook
Sale type: Auction Thursday 12th March 2026(unless sold prior)
Agents: Scott McElhinney : 027210 8887
URL: https://www.barfoot.co.nz/property/residential/franklin-district/glenbrook/lifestyle/928752

Description:
ResidentialFranklin DistrictGlenbrook51C Klipsch Road",https://www.barfoot.co.nz/property/residential/franklin-district/glenbrook/lifestyle/928752
"1689C Ararimu Road, Hunua","Location: 1689C Ararimu Road, Hunua
Sale type: $1,460,000
Agents: Luke Jupp : 0211608 005 | Jason Tabrum : 022567 9662
URL: https://www.barfoot.co.nz/property/residential/franklin-district/hunua/lifestyle/922320

Description:
Open home for 1689C Ararimu Road, Hunua. Starting at 01:30PM and finishing at 02:00PM 

Open home for listing ID:922320. Listing by Luke Jupp from Barfoot & Thompson.",https://www.barfoot.co.nz/property/residential/franklin-district/hunua/lifestyle/922320
"1843B East Coast Road, Kaiaua","Location: 1843B East Coast Road, Kaiaua
Sale type: $1,190,000
Agents: Stephanie Alderlieste : 027246 7911
URL: https://www.barfoot.co.nz/property/residential/franklin-district/kaiaua/lifestyle/906714

Description:
Spectacular Elevated Sea Views!

Sitting snuggly amongst delightfully landscaped gardens of over an acre this solidly built brick and plaster home has gorgeous elevated rural and sea views.

You can enjoy sitting all year round on sheltered decks and watch the boaties bring home fish for tea. Or relax over a leisurely breakfast watching the sunrise over the Coromandel Ranges and the Firth of Thames!

This three bedroom home has a bright and pleasant entry hall which leads into a sunny open plan living area. Plenty of space to lounge and open the doors out to amazing decks with delightful vistas. There is a spacious kitchen with modern appliances and the lots of cupboards and work tops. A large dining area adjacent to the kitchen also has access to outdoor living with its covered arch gola style shelter and drop down siders this is a great alternate spot for Summer or Winter entertaining.
The master suite has its own ensuite and walk in wardrobe and there are two further bedrooms along the hall with a family bathroom and separate toilet. There is a double internal garage. Adjacent to the home is a large garage which is fully lined and is set up and used as Air BnB accommodation. Attracting rave reviews from all who stay here. This could also be a great workshop or hobby room.

Another 3 bay shed to the rear of the property has high stud doors giving possibilities for storing boat, camper or all the other things you might need living so near the beach. Tucked away is a further two bay open barn style shed with room for a boat.

There are many fruit trees including plums, peaches, apricots, apples, oranges, lemons, loquats amongst others and a productive vegie garden. There is plenty of room for a pet or two and kids to play!

A short stroll from the gated entrance will bring you to the most delightful little bay from where locals launch their boats and kayaks with a few locals even catching snapper from the shore.

There is a great outdoors to explore nearby with Waharau Regional Park and its wonderful bush walks, swimming off the beach just a few minutes’ walk away and great fishing spots.

Auckland is about an hour and other towns like Pukekohe and Thames are about 40 minutes away. There are great local communities in the seaside villages with the Kaiaua Primary school just down the road and a local bus to Hauraki Plains College. This is a wonderful place to retire to or for a family to live.

Kaiaua boasts a busy local boating club, plenty of fishing competitions and Sunday markets. A handy garage with full mechanic workshop, two shops and a friendly local pub with family restaurant and garden bar.

If privacy, beautiful views, mature gardens, the beach just a short stroll away seem tempting, this property is a must to view.

Read more",https://www.barfoot.co.nz/property/residential/franklin-district/kaiaua/lifestyle/906714
"189 Lewis Road, Karaka","Location: 189 Lewis Road, Karaka
Sale type: $2,698,000
Agents: Trudy Boyce : 021898 483
URL: https://www.barfoot.co.nz/property/residential/franklin-district/karaka/lifestyle/916602

Description:
Great Opportunity In Beautiful Karaka

Solid family home with great indoor outdoor flow, swimming pool, established grounds and great views on 6 hectares

This is an incredible opportunity to purchase a fantastic lifestyle property in a highly sought-after area. This solid brick and tile 270 sqm family home is situated on 6 hectares of gently contoured land with lovely rural views with Pukekohe golf course in the distance.

The home features a large, open-plan living space and a charming country-style kitchen, complete with a corner pantry for ample storage. Doors from the living area open directly to a patio, creating a perfect spot for relaxing and entertaining while enjoying the rural ambiance. A generous lounge with a Kent-style fireplace, expansive windows, and direct access to the pool and undercover area.

Offering four double bedrooms, a dedicated office space, a family bathroom and WC, the master bedroom has a spacious ensuite with a large bath. You'll appreciate the brand-new flooring and carpet throughout, along with the fresh coat of paint. A large laundry, separate storage room, and internal garaging complete this wonderful family home.

Ideal property if you are looking for a base for your truck and trailer, or boat and campervan, with separate access and gravel driveway with loads of parking. The versatile grazing land is ideal for any agricultural use, perfect for horses or any type of livestock animal, or take advantage of leasing the land to one of the local Karaka farmers.

Key features include:

270 sqm solid brick home
6 ha (15 acres)
Private and established grounds and gardens
Country-style kitchen with dining & living
Separate lounge with Kent-style fire & heat transfer system
Excellent indoor outdoor flow
Master bedroom with large ensuite and bath
3 double bedrooms, family bathroom, and separate WC
Separate office
New carpet throughout, and new flooring in the kitchen/family and bathroom
Internal garage, separate laundry & storage room, attic storage
Excellent outdoor entertaining area and swimming pool
Triple entrances to the property, plus extra shedding
There is space for a minor dwelling
Good water supply (tank & bore)
8km to Motorway interchange at Karaka
10km to Drury Motorway & Pukekohe township

There is so much space and versatility on offer to create a fuss-free idyllic family lifestyle in a friendly rural community. Close proximity to sought after schools with School bus services close by to, ACG Strathallan, St Ignatius, City Schools and Rosehill College. With local cafes and other community amenities & Pukekohe Golf Course close by, this impressive property offers an enviable lifestyle in a premium rural location.


Call today to arrange a viewing; you won't be disappointed, this one won't last!

Read more",https://www.barfoot.co.nz/property/residential/franklin-district/karaka/lifestyle/916602
"186 Charles Road, Karaka","Location: 186 Charles Road, Karaka
Sale type: For sale by negotiation
Agents: Trudy Boyce : 021898 483
URL: https://www.barfoot.co.nz/property/residential/franklin-district/karaka/lifestyle/916806

Description:
VENDORS HAVE MOVED - NOW SEEKING A SALE!

Embrace a tranquil country lifestyle in idyllic Karaka with this 2.3 acre property which has immediate appeal with its private & picturesque setting, rural outlook and park-like views over a pond with a jetty, and easy care gardens.

This immaculately presented family home of 331 sqm, has been very well maintained and is orientated to embrace the stunning country views. At the heart of the home there is a great size kitchen with a large picture book view, an open-plan dining and living room with good outdoor access to decking, and a cosy wood burning fire for those chilly winter months. A connecting lounge provides a generous space to entertain with sliding doors opening out to a large, north-facing deck and overlooking the inground swimming pool. A perfect place to entertain or relax.

Upstairs is the master suite with great views, and a spacious walk-in wardrobe and ensuite, two more large bedrooms, family bathroom, separate toilet and ducted air-conditioning. Downstairs is a fourth bedroom, large bathroom and a large separate laundry.

There is an abundance of storage space throughout the home and the internal access double garage includes a mudroom with stairs leading to a carpeted office/hobby semi-two room above. Outdoor offerings are two secure sheds, each with concrete floors. The large shed has a workshop area complete with workbenches, two high roller door vehicle bays, 3-phase power and an attached lean-to carport. The smaller shed has three roller doors to store ride-on mower, firewood, machinery etc.

The land is easy care with a selection of fruit trees, and room for a pet or two.


North facing 331 sqm family home
2.3 acres (9331 sqm)
Large kitchen with open plan dining & living
Separate lounge with outdoor access
Kentstyle fireplace, heat pump, ducted air conditioning upstairs
Multiple doors open out to decking, all-day sun and scenic north facing views
Master suite with ensuite and walk in wardrobe
3 double bedrooms, (one with walk-in), 2 family bathrooms and WC
Separate laundry with outdoor access
Good size loft above garage with 2 x office/hobby rooms
Internal access double garage, with mudroom
Inground swimming pool plus decking
Large shedding with workshop, 2x high roller doors and 3-phase power
Smaller shed with 3 roller doors, 2 x water tanks
10 minutes from Karaka motorway interchange
Zoned for Karaka school, Rosehill College, and close to ACG Strathallan

Nestled in the sought-after area of Karaka, enjoy peaceful country living without compromising on convenience. This exceptional property is a must see and won't last long. Don't delay your viewing.

Read more",https://www.barfoot.co.nz/property/residential/franklin-district/karaka/lifestyle/916806
